Date,Buy,Sell,Stocks Bought,Sell Price,Return%
2016-12-12,488.75,nan,202.0,nan,nan
2017-02-23,nan,504.524994,nan,100894.90830011999,0.8949083001199907
2017-04-18,461.200012,nan,216.0,nan,nan
2017-07-21,nan,489.950012,nan,104770.91056608001,4.770910566080013
2017-08-24,456.25,nan,227.0,nan,nan
2017-11-10,nan,480.299988,nan,107937.81630324,7.937816303240004
2018-10-26,633.5,nan,168.0,nan,nan
2019-01-17,nan,733.400024,nan,121979.09199168,21.979091991680004
2019-05-10,716.049988,nan,168.0,nan,nan
2019-06-14,nan,740.400024,nan,123143.33199168001,23.14333199168001
2019-07-11,720.849976,nan,169.0,nan,nan
2019-07-16,nan,784.950012,nan,131329.98650772,31.329986507719994
