Date,Buy,Sell,Stocks Bought,Sell Price,Return%
2018-10-29 00:00:00,644.75,nan,153.0,nan,nan
2018-12-14 00:00:00,nan,706.0499877929688,nan,106945.39165100097,6.945391651000973
2019-03-18 00:00:00,710.2000122070312,nan,149.0,nan,nan
2019-04-03 00:00:00,nan,753.2999877929688,nan,111119.28119934082,11.119281199340826
2019-07-10 00:00:00,717.25,nan,153.0,nan,nan
2019-07-18 00:00:00,nan,792.7000122070312,nan,120070.27084899902,20.07027084899902
2019-11-01 00:00:00,687.9000244140625,nan,172.0,nan,nan
2019-11-08 00:00:00,nan,708.1500244140625,nan,120583.78615722657,20.58378615722657
2020-03-24 00:00:00,589.7999877929688,nan,202.0,nan,nan
2020-06-04 00:00:00,nan,707.75,nan,141535.845,41.535845
